test;method;order;time;dimension;num_vars;num_equations;basis_size;avr_memory;max_memory;mem_per_sec;crit1;crit2;mode;status
assur44;ginv;deglex;600,0390;8;8;8;;;;;;;clean;timeout
assur44;sympy;deglex;600,0300;8;8;8;;;;;;;clean;timeout
boon;ginv;deglex;0,1430;6;6;0;12,0000;;;;108,0000;32,0000;clean;ok
boon;sympy;deglex;0,0350;6;6;6;11,0000;;;;;;clean;ok
butcher8;ginv;deglex;44,0380;8;8;0;54,0000;;;;568,0000;1292,0000;clean;ok
butcher8;sympy;deglex;29,8800;8;8;8;54,0000;;;;;;clean;ok
butcher;ginv;deglex;9,8380;7;7;0;27,0000;;;;192,0000;360,0000;clean;ok
butcher;sympy;deglex;0,5700;7;7;7;26,0000;;;;;;clean;ok
camera1s;ginv;deglex;2,8400;6;6;0;26,0000;;;;177,0000;82,0000;clean;ok
camera1s;sympy;deglex;2,2170;6;6;6;31,0000;;;;;;clean;ok
caprasse;ginv;deglex;0,2470;4;4;0;26,0000;;;;65,0000;183,0000;clean;ok
caprasse;sympy;deglex;0,1020;4;4;4;27,0000;;;;;;clean;ok
cassou;ginv;deglex;3,6710;5;5;0;8,0000;;;;39,0000;155,0000;clean;ok
cassou;sympy;deglex;600,0210;5;5;4;;;;;;;clean;timeout
chandra4;ginv;deglex;0,0490;4;4;0;8,0000;;;;19,0000;7,0000;clean;ok
chandra4;sympy;deglex;0,0100;4;4;4;8,0000;;;;;;clean;ok
chandra5;ginv;deglex;0,2330;5;5;0;16,0000;;;;59,0000;42,0000;clean;ok
chandra5;sympy;deglex;0,0530;5;5;5;16,0000;;;;;;clean;ok
chandra6;ginv;deglex;1,6300;6;6;0;32,0000;;;;188,0000;237,0000;clean;ok
chandra6;sympy;deglex;0,4070;6;6;6;32,0000;;;;;;clean;ok
chemequs;ginv;deglex;2,1410;5;5;0;20,0000;;;;95,0000;72,0000;clean;ok
chemequs;sympy;deglex;10,6750;5;5;5;20,0000;;;;;;clean;ok
chemequ;ginv;deglex;1,0720;5;5;0;18,0000;;;;84,0000;56,0000;clean;ok
chemequ;sympy;deglex;0,3220;5;5;5;19,0000;;;;;;clean;ok
cohn2;ginv;deglex;15,8890;4;4;0;23,0000;;;;0,0000;413,0000;clean;ok
cohn2;sympy;deglex;10,8190;4;4;4;24,0000;;;;;;clean;ok
