test;method;order;time;dimension;crit1;crit2;num_vars;num_equations;basis_size;avr_memory;max_memory;mem_per_sec;mode
boon;ginv;deglex;0,145;6;108,000;32,000;6;0;12;0,000;0,000;0,000;clean
boon;sympy;deglex;0,034;6;;;6;6;11;0,000;0,000;0,000;clean
chandra5;ginv;deglex;0,293;5;59,000;42,000;5;0;16;0,000;0,000;0,000;clean
chandra5;sympy;deglex;0,056;5;;;5;5;16;0,000;0,000;0,000;clean
caprasse;ginv;deglex;0,254;4;65,000;183,000;4;0;26;0,000;0,000;0,000;clean
caprasse;sympy;deglex;0,103;4;;;4;4;27;0,000;0,000;0,000;clean
issac97;ginv;deglex;0,236;4;25,000;19,000;4;0;12;0,000;0,000;0,000;clean
issac97;sympy;deglex;0,138;4;;;4;4;15;0,000;0,000;0,000;clean
hcyclic5;ginv;deglex;0,420;6;89,000;528,000;6;0;38;0,000;0,000;0,000;clean
hcyclic5;sympy;deglex;0,433;6;;;6;5;43;0,000;0,000;0,000;clean
