test;method;order;time;dimension;num_vars;basis_size;avr_memory;max_memory;mem_per_sec;crit1;crit2;mode;status
assur44;ginv;deglex;1101,7790;8;8;87,0000;;;;1919,0000;3352,0000;clean;ok
assur44;sympy;deglex;3600,0320;8;8;;;;;;;clean;timeout
benchmark_D1;ginv;deglex;87,6800;12;12;86,0000;;;;2479,0000;2185,0000;clean;ok
benchmark_D1;sympy;deglex;3600,0420;12;12;;;;;;;clean;timeout
benchmark_i1;ginv;deglex;1120,7290;10;10;118,0000;;;;3559,0000;3487,0000;clean;ok
benchmark_i1;sympy;deglex;3600,0360;10;10;;;;;;;clean;timeout
boon;ginv;deglex;0,1430;6;6;12,0000;;;;108,0000;32,0000;clean;ok
boon;sympy;deglex;0,0350;6;6;11,0000;;;;;;clean;ok
butcher8;ginv;deglex;44,0380;8;8;54,0000;;;;568,0000;1292,0000;clean;ok
butcher8;sympy;deglex;29,8800;8;8;54,0000;;;;;;clean;ok
butcher;ginv;deglex;9,8380;7;7;27,0000;;;;192,0000;360,0000;clean;ok
butcher;sympy;deglex;0,5700;7;7;26,0000;;;;;;clean;ok
camera1s;ginv;deglex;2,8400;6;6;26,0000;;;;177,0000;82,0000;clean;ok
camera1s;sympy;deglex;2,2170;6;6;31,0000;;;;;;clean;ok
caprasse;ginv;deglex;0,2470;4;4;26,0000;;;;65,0000;183,0000;clean;ok
caprasse;sympy;deglex;0,1020;4;4;27,0000;;;;;;clean;ok
cassou;ginv;deglex;3,6710;5;5;8,0000;;;;39,0000;155,0000;clean;ok
cassou;sympy;deglex;3600,0310;5;5;;;;;;;clean;timeout
chandra4;ginv;deglex;0,0490;4;4;8,0000;;;;19,0000;7,0000;clean;ok
chandra4;sympy;deglex;0,0100;4;4;8,0000;;;;;;clean;ok
chandra5;ginv;deglex;0,2330;5;5;16,0000;;;;59,0000;42,0000;clean;ok
chandra5;sympy;deglex;0,0530;5;5;16,0000;;;;;;clean;ok
chandra6;ginv;deglex;1,6300;6;6;32,0000;;;;188,0000;237,0000;clean;ok
chandra6;sympy;deglex;0,4070;6;6;32,0000;;;;;;clean;ok
chemequs;ginv;deglex;2,1410;5;5;20,0000;;;;95,0000;72,0000;clean;ok
chemequs;sympy;deglex;10,6750;5;5;20,0000;;;;;;clean;ok
chemequ;ginv;deglex;1,0720;5;5;18,0000;;;;84,0000;56,0000;clean;ok
chemequ;sympy;deglex;0,3220;5;5;19,0000;;;;;;clean;ok
chemkin;ginv;deglex;1648,4510;11;11;90,0000;;;;2134,0000;3518,0000;clean;ok
chemkin;sympy;deglex;3600,0290;11;11;;;;;;;clean;timeout
cohn2;ginv;deglex;15,8890;4;4;23,0000;;;;0,0000;413,0000;clean;ok
cohn2;sympy;deglex;10,8190;4;4;24,0000;;;;;;clean;ok
cohn3;ginv;deglex;578,6360;4;4;92,0000;;;;80,0000;7320,0000;clean;ok
cohn3;sympy;deglex;3600,0280;4;4;;;;;;;clean;timeout
comb3000s;ginv;deglex;0,3700;10;10;20,0000;;;;151,0000;17,0000;clean;ok
comb3000s;sympy;deglex;0,3060;10;10;20,0000;;;;;;clean;ok
comb3000;ginv;deglex;0,3510;10;10;20,0000;;;;151,0000;14,0000;clean;ok
comb3000;sympy;deglex;0,1030;10;10;20,0000;;;;;;clean;ok
conform1;ginv;deglex;0,0570;3;3;10,0000;;;;9,0000;31,0000;clean;ok
conform1;sympy;deglex;0,0190;3;3;10,0000;;;;;;clean;ok
cpdm5;ginv;deglex;104,8830;5;5;77,0000;;;;339,0000;2430,0000;clean;ok
cpdm5;sympy;deglex;116,7950;5;5;90,0000;;;;;;clean;ok
cyclic5;ginv;deglex;0,6890;5;5;20,0000;;;;113,0000;378,0000;clean;ok
cyclic5;sympy;deglex;0,3560;5;5;30,0000;;;;;;clean;ok
